,z,strike,dip,r,x,y,Cluster
0,11,43,0,-149,190.0023856,114.248296,-1
1,12,49,3,-146,100.9696449,22.23175126,-1
2,52,66,13,-116,87.16180094,19.4511464,-1
3,53,109,16,-88,114.266066,52.78816706,-1
4,53,119,23,-51,115.054771,162.9458837,-1
5,53,145,25,-33,175.5172309,187.6259317,-1
6,72,177,32,-29,163.0240689,128.8415576,-1
7,73,178,36,-7,30.51410088,167.931196,-1
8,74,185,36,-1,34.14383043,120.6379058,-1
9,84,210,41,25,118.2433658,142.5147876,-1
10,91,225,43,29,147.0968954,148.1259237,-1
11,128,234,44,38,161.1907064,168.1460367,-1
12,136,251,56,45,192.5016372,20.46848235,-1
13,146,254,58,76,103.9501442,182.8325511,-1
14,146,272,60,76,199.3764159,124.3515364,-1
15,150,277,64,89,64.51387234,188.824024,-1
16,153,306,70,92,53.61866032,68.85518869,-1
17,162,318,76,137,68.77174852,199.1612649,-1
18,177,324,82,139,184.0416765,188.7636141,-1
19,194,328,82,139,84.92857818,175.1181473,-1
20,196,347,85,176,146.9227544,54.63291699,-1
0,70,3,0,50,26.80120972,18.55823542,0
1,71,13,4,50,12.36454141,32.8657693,0
2,72,27,5,50,38.20902546,24.76296191,0
3,74,33,10,51,21.94027612,28.0790359,0
4,74,34,11,51,11.29858198,29.11619112,0
5,74,36,13,51,22.29115044,30.80222033,0
6,75,41,15,53,13.50548802,25.83807306,0
7,75,74,16,53,20.99663406,13.92380106,0
8,77,75,19,54,15.65315609,27.61560877,0
9,77,77,21,54,28.48851111,37.89644347,0
10,78,82,25,54,27.75161684,11.81251148,0
11,78,96,26,54,19.27030139,29.03804247,0
12,80,114,27,54,19.21279151,20.04773724,0
13,83,120,28,55,35.23102442,25.25957027,0
14,84,130,30,55,11.79677398,22.30922158,0
15,85,130,30,55,14.57755067,19.54758184,0
16,85,138,36,55,13.21298035,19.91071526,0
17,85,148,37,55,24.73510429,16.32497317,0
18,88,166,40,55,17.34389233,31.04868475,0
19,88,178,44,56,17.76651252,33.15839466,0
20,89,186,46,56,14.08255089,25.97526279,0
21,89,195,46,56,33.25160341,37.0642422,0
22,89,198,47,56,29.79822496,35.80878544,0
23,90,202,51,56,16.93510001,33.17655534,0
24,90,213,51,57,23.29668915,19.40797919,0
25,93,225,51,57,27.79841401,32.42096036,0
26,93,227,53,57,38.49027614,28.75450816,0
27,94,231,53,58,18.03367461,17.92421364,0
28,95,241,53,58,37.54091293,25.25861749,0
29,95,243,55,58,17.38214441,29.44786523,0
30,98,252,59,58,31.20021856,24.13811373,0
31,99,254,61,59,34.74620387,16.48983142,0
32,99,254,62,60,34.21085228,16.57352728,0
33,100,256,63,60,18.93947567,27.5620412,0
34,101,256,67,60,24.03140271,22.77822684,0
35,101,258,67,62,35.54410062,26.78907033,0
36,102,263,67,62,35.66932666,15.55486875,0
37,104,268,68,62,19.40295963,19.75040491,0
38,105,269,70,63,27.17361562,32.16537289,0
39,106,271,72,63,20.78371858,14.10441534,0
40,107,274,73,63,25.50312898,37.19649816,0
41,109,278,74,63,15.87938014,34.88038385,0
42,110,286,75,63,18.23086483,21.7316002,0
43,111,299,75,64,24.95918824,38.99679387,0
